H,Re_Y1,Im_Y1,Re_Y2,Im_Y2,I1,I2,theta1,eb,ec,Delta_pomega,phi1,phi2
-9.80645993231174e-13,0.00023331682548763353,0.0007699762151591331,-0.26189477018791707,-0.17762282224760695,3.669861005248672e-14,3.925394517034533e-09,1.2765728245579935,0.21303591132163996,0.18290160596370694,-0.0040707588195818545,-6.8805212497553185,-6.876450490935737
-6.762433131352518e-13,0.0051764486550299185,0.0012996368538495645,0.23998170974023017,0.206765599502271,1.6150964644408976e-12,3.932428134609977e-09,0.24598290396465985,0.2100920889323665,0.18836819322599996,-0.018972770826607643,8.706992358384676,8.725965129211284
-7.656898819752602e-13,0.0004290134098348615,-0.0008045631236810141,-0.22816761866336419,-0.2194420190078075,4.713648742086901e-14,3.927581109016116e-09,-1.080923116367664,0.21256499559924333,0.18385911529569599,0.0070352190604010545,18.086039358457498,18.0790041393971
-9.144951038857268e-13,0.004114279055741711,0.002337203483559375,0.20193189143268292,0.2438939826887887,1.2693606198481133e-12,3.929830747893302e-09,0.5166115203978141,0.21026143962131166,0.18790262064330907,-0.013317836066258693,8.540910759034585,8.554228595100842
-8.015219373146145e-13,0.00042040807534265474,-0.002236422776039651,-0.19452475115137102,-0.2501359635785719,2.9359065556911564e-13,3.935226433223073e-09,-1.3849824206009957,0.21205704916194662,0.18524651274657827,0.013614242418420464,-0.9051604886087707,-0.9187747310271912
-1.0267985539160536e-12,0.0032812856483185864,0.0025532321565187735,0.15046329671275516,0.2779351085214363,9.80038727684825e-13,3.915822680943503e-09,0.6612560164707852,0.21024750082810234,0.1869472670740727,-0.01329483277708654,14.628753787623637,14.642048620400724
-4.989205860269449e-13,0.0020939831257500373,-0.00307925773061829,-0.15189364799387822,-0.27860036917462055,7.862866908585305e-13,3.9452355129522105e-09,-0.9736001560028003,0.21216336561293153,0.18578015395146474,0.026402324434454894,5.220587438923101,5.194185114488645
-9.32526196397312e-13,0.0027654199985757987,0.002541821464839147,0.10801203514480352,0.29807539080699474,7.998490854837075e-13,3.939847657291998e-09,0.7432922257588497,0.2111578595819745,0.1870774957157765,-0.013777416860916158,-4.3694970606341865,-4.35571964377327
-9.011873695414868e-13,0.0033852855982252888,-0.0023399047960536486,-0.10090986434017926,-0.300726450807497,9.60078775813574e-13,3.943626703071719e-09,-0.6047945539622006,0.21252301525074355,0.18509618991837454,0.03156780401174064,11.330095242932007,11.298527438920265
-8.126401760192382e-13,0.0013589919049831775,0.0024334434023523485,0.0513683161256722,0.3130923463526933,4.404150063675517e-13,3.945127945216572e-09,1.0614776474969376,0.21169063391820137,0.18654721620743323,-0.007532721917410168,1.730824022535058,1.7383567444524681
-7.627088713422486e-13,0.004031030419349711,-0.0023982583673185388,-0.055946200168302165,-0.311628344900507,1.2473479259361465e-12,3.928532971848564e-09,-0.536697408046803,0.2118068593703734,0.18528085258924523,0.03508158982584941,-7.664336706853856,-7.699418296679705
-6.783983786734891e-13,8.567630641946387e-05,0.0024704882144032997,0.011183114273576624,0.3160438497601169,3.4648698161978053e-13,3.919407151674756e-09,1.536130310917886,0.2110514025900282,0.18583451733501583,1.3890308575792432e-05,7.889356344933396,7.8893424546248205
-9.242150873565943e-13,0.00496361845905881,-0.0021598953590060447,0.004748930308091796,-0.316794901622282,1.661269465690284e-12,3.934599544372801e-09,-0.41043234938733886,0.21166135074805412,0.18595178733157458,0.039303237239329825,-1.5722953426508735,-1.6115985798902033
-9.512460517456853e-13,-0.00036308429191792636,0.0010101698098847886,-0.03998592179656789,0.3138599096865645,6.532709130983207e-14,3.923963371657968e-09,1.9158462980986075,0.21203778381218702,0.18449285803707002,0.0018617616620426602,-11.121657216175446,-11.123518977837488
-7.831171800977319e-13,0.005500701207842196,-0.002062014216187537,0.04572303965160745,-0.3138611280602912,1.95641914251252e-12,3.942398399728334e-09,-0.3586513298280479,0.211513989785914,0.1867612917181756,0.040914062390111194,4.581819060736919,4.540904998346807
