Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
TOI 3102.01,,,,,,,1524.0,,3.877,4.526,11.7,744.92,,,True,toi
TOI 1020.01,,,,,,,3661.0,,3.2889,3.793,10.2,906.83,,,True,toi
TOI 2698.01,,,,,,,929.0,,3.2706,1.682,11.9,440.36,,,True,toi
TOI 3387.01,,,,,,,1340.0,,2.7678,2.225,12.0,617.18,,,True,toi
TOI 3828.01,,,,,,,0.0,,19.5106,4.471,,341.6,,,True,toi
TOI 3930.01,,,,,,,1400.0,,2.9284,3.835,11.2,749.11,,,True,toi
TOI 4795.01,,,,,,,1901.0,,2.7431,3.134,12.2,1429.87,,,True,toi
TOI 1681.01,0.114,0.074,,0.75,,1935.0,1595.0,,1.5379,0.724,9.4,153.9,5672.0,4.509,True,toi
TOI 1654.01,,,,0.29,,,0.0,,1.8348,2.414,9.0,304.86,,,True,toi
TOI 1438.02,0.0,0.002,,0.22,,938.0,623.0,,9.4281,1.377,9.1,110.51,5259.0,4.569,True,toi
TOI 4885.01,,,,,,,0.0,,6.9393,5.859,12.1,691.78,,,True,toi
TOI 3995.01,,,,,,,1483.0,,6.422,4.211,11.3,741.88,,,True,toi
TOI 1299.01,,,,,,,0.0,,5.9294,3.719,9.8,,,,True,toi
TOI 616.01,,,,2.09,,,0.0,,2.8057,2.299,9.4,862.8,,,True,toi
TOI 3459.01,,,,,,,1211.0,,8.4893,4.903,10.9,595.95,,,True,toi
TOI 2962.01,,,,1.47,,,1253.0,,4.0212,4.198,11.6,1013.0,,,True,toi
TOI 3518.01,,,,1.47,,,1122.0,,2.9662,2.068,,7470.05,,,True,toi
TOI 1437.01,0.0,0.003,,0.18,,1015.0,868.0,,18.841,5.765,7.8,103.3,6093.0,4.322,True,toi
TOI 1447.01,,,,0.32,,,2575.0,,1.2273,4.8115,7.5,309.27,6906.0,,True,toi
TOI 1434.01,0.0,0.002,,0.18,,617.0,475.0,,29.9027,3.6994,6.9,37.79,5394.0,4.678,True,toi
TOI 1758.01,0.0,0.003,,0.3,,708.0,531.0,,20.7051,3.348,8.8,96.62,5169.0,4.57,True,toi
TOI 1444.01,0.034,0.009,,0.14,,2792.0,2148.0,,0.4703,1.4109,9.1,125.46,5466.0,4.486,True,toi
TOI 1443.01,0.0,0.001,,0.19,,661.0,558.0,,23.5407,4.065,8.7,85.8,5236.0,4.639,True,toi
TOI 1452.01,0.0,0.0,,0.14,,395.0,304.0,,11.062,1.7588,9.7,30.52,3248.0,4.954,True,toi
TOI 1448.01,0.0,0.001,,0.24,,505.0,388.0,,8.0971,3.1279,10.8,73.33,3391.0,4.844,True,toi
TOI 1489.01,,,,1.22,,,973.0,,6.983,3.472,6.9,411.53,5118.0,,True,toi
TOI 1428.01,0.034,0.043,,1.16,,1625.0,1731.0,,11.3563,6.047,10.1,504.98,6314.0,3.871,True,toi
TOI 1469.02,0.001,0.013,,0.12,,952.0,789.0,,6.765,1.421,3.3,6.53,4884.0,4.59,True,toi
TOI 1470.01,0.0,0.006,,0.2,,860.0,662.0,,2.5273,1.2659,9.3,51.95,3624.0,4.746,True,toi
TOI 113.01,0.081,0.088,,1.27,,1685.0,1270.0,,3.3729,2.6343,11.3,448.64,6147.0,4.456,True,toi
TOI 369.01,,,,0.56,,,0.0,,5.464,2.928,8.2,126.36,,,True,toi
TOI 1310.01,0.216,0.133,,1.06,,1989.0,1492.0,,2.6796,2.771,9.5,247.98,5938.0,4.23,True,toi
TOI 381.01,0.031,0.022,,0.3,,1904.0,1097.0,,4.8958,2.478,6.3,75.55,6049.0,3.995,True,toi
TOI 382.01,0.111,0.024,,0.59,,3108.0,1616.0,,0.4568,0.548,11.7,506.62,5753.0,4.417,True,toi
TOI 569.01,0.033,0.049,,0.75,,1534.0,879.0,,6.5562,2.314,8.4,156.23,5811.0,4.119,True,toi
TOI 1061.01,0.077,0.018,,0.2,,3016.0,2536.0,,0.5409,1.6743,8.7,133.17,5801.0,4.387,True,toi
TOI 958.01,1.191,0.229,,1.28,,3343.0,3698.0,,0.5875,1.344,10.0,297.12,5745.0,4.142,True,toi
TOI 449.01,0.524,0.151,,1.68,,2761.0,2124.0,,2.1752,4.7919,11.0,754.26,6291.0,3.899,True,toi
TOI 204.01,0.0,0.001,,0.25,,660.0,507.0,,43.8298,4.3011,8.2,95.34,5553.0,4.398,True,toi
TOI 510.01,0.037,0.013,,0.25,,2452.0,1110.0,,1.3524,0.512,7.5,93.1,5883.0,4.244,True,toi
TOI 1192.01,,,,2.53,,,0.0,,45.9403,3.768,9.7,283.02,6479.0,,True,toi
TOI 612.01,0.132,0.029,,0.5,,3412.0,2409.0,,0.9136,1.099,9.5,292.62,7126.0,4.287,True,toi
