draw_index,stable,note,m_b,a_b,e_b,inc_b,Omega_b,omega_b,M_b,m_c,a_c,e_c,inc_c,Omega_c,omega_c,M_c,m_d,a_d,e_d,inc_d,Omega_d,omega_d,M_d,m_e,a_e,e_e,inc_e,Omega_e,omega_e,M_e,detail_file
1414,False,orbit crossing,0.00033697176459117166,0.0804,0.031,1.5376350710070041,0.0,0.08726646259971647,2.523678505986233,1.308058e-05,0.1705344,0.22617327,1.5707963267948966,0.0,-2.4393628,1.9317722,7.874758e-06,0.20746332,0.19543466,1.5707963267948966,0.0,-2.4445844,1.4293513,0.00034269932999498763,0.407,0.031,1.5707963267948966,0.0,-2.2689280275926285,4.014126170138553,sim_details_8_chain/sim_1414.csv
2194,False,orbit crossing,0.00033697176459117166,0.0804,0.031,1.5376350710070041,0.0,0.08726646259971647,2.523678505986233,1.5692081e-05,0.17053425,0.25600198,1.5707963267948966,0.0,-2.907344,2.529337,1.09050025e-05,0.20746256,0.22040616,1.5707963267948966,0.0,-2.909138,2.0054622,0.00034269932999498763,0.407,0.031,1.5707963267948966,0.0,-2.2689280275926285,4.014126170138553,sim_details_8_chain/sim_2194.csv
