time,flux,flux_err,planet_number
1714.7644351777033,-8.119412379695554e-05,0.00011267513634797821,0
1714.7852674155126,0.00011178576160814457,0.00011270308533297992,0
1714.8061016014692,-1.0877065944125333e-05,0.000112774086303134,0
1714.8262408363694,6.215349249427167e-05,0.0001168103381138052,0
1714.846380760701,0.00035585024834716646,0.00011288162559194024,0
1714.8672135431123,0.0001317217222702661,0.00011289481529974783,0
1714.8873530511917,8.038837673893455e-05,0.00011687270039241801,0
1714.90749406776,0.00022852541488374207,0.00011287065895924157,0
1714.9283287960834,-0.00017437163469878305,0.00011283418934954904,0
1714.9490528770164,0.00011185915597117593,0.0001211484874721678,0
1714.9679125210453,-1.726686784280698e-05,0.0001166425019717525,0
1714.9894363967317,0.00013459418915169128,0.00011265128047553595,0
1715.0102725751117,0.00014083934516190237,0.00011261598997534744,0
1715.0304098138631,3.938747182903597e-05,0.00011656253329757553,0
1715.0505506521229,0.000145409808119574,0.0001126292387236146,0
1715.0713816552795,0.00012364063162861134,0.00011267882978057461,0
1715.0915194814438,-0.00011014664181849685,0.00011671631077269749,0
1715.1116637099271,6.316771712163941e-05,0.00011279153231777559,0
1715.1324933399421,-3.619537129848544e-05,0.00011286399744306226,0
1715.1526344308566,-3.273007991224216e-05,0.00011684626784388733,0
1715.172774459726,-6.50912224789145e-05,0.00011290205195593753,0
1715.1936098866008,3.550704929684297e-06,0.00011286479156845482,0
1715.2144427137648,6.010714087201221e-05,0.00011282010015039622,0
1715.2345822118964,-3.474443320417012e-05,0.00011668584022423013,0
1715.254720619878,0.0002394902532297725,0.00011266432387275329,0
1715.2755566168469,-0.00013522274287463117,0.00011257848512801087,0
1715.2956922405667,-0.00042329878887489034,0.00011646490134165336,0
1715.3158344428468,-0.0011653561276300567,0.00011243638949836294,0
1715.3366664451994,-0.001033890743578301,0.00011244123865942363,0
1715.3568044964763,-0.00134565501483269,0.00011637560649041038,0
1715.3769416912412,-0.001184170707801842,0.0001125104124468547,0
1715.3977766747812,-0.0010602924080814228,0.00011250359557092659,0
1715.4186052868106,-0.00029034768213108246,0.00011263631818878859,0
1715.4387472477877,6.569140383348095e-06,0.00011667494950872889,0
1715.4588863860336,7.471081745934587e-05,0.00011281430005871822,0
1715.4797177545197,-0.0001001204893311028,0.0001128780057268803,0
1715.4998611146125,-9.674380733556088e-06,0.0001169513732262148,0
1715.5199978326157,0.00019592391297362286,0.00011303808456856454,0
1715.54083430087,0.0004194749540144679,0.00011311562720467114,0
1715.5609731521645,9.349914231044806e-05,0.00011712966578784212,0
1715.5811141654333,3.8627655030770227e-05,0.00011319044060687635,0
1715.6019476924052,1.4024661635128089e-05,0.00011318131067849859,0
1715.6227824537857,-9.859787318535867e-05,0.00011318938797210044,0
1715.640835965051,-0.00018006593901274945,0.00013218111364460554,0
1715.665835593794,0.00014618531434592582,0.00013222250388530898,0
1715.6838930332187,2.4747460343448188e-05,0.00011322914825290729,0
1715.7040294317192,4.822407276434443e-05,0.00011720764206495401,0
1715.725558066197,-1.639450045098036e-05,0.00014622786488060991,0
1715.745002061279,-0.00010934522677986052,0.00011330779243947267,0
