TIC ID,TOI ID,TOI_1,TOI_2,P1 (days),P2 (days),Rp1 (R_Earth),Rp2 (R_Earth),resonance,delta,R_star (R_sun),Rp1/R_star,Rp2/R_star,baseline (days),num_transits_1,num_transits_2,expected tc_err 1,expected tc_err 2,num_sectors,simbad_link
425997655,174,174.04,174.05,3.9766833,7.9076222,0.757588,0.969819,2:1,-0.005751576948559101,0.69,0.010065916349084334,0.012885786110329915,1881.1070875246435,76,37,0.00673,0.00529,12,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+425997655
307210830,175,175.01,175.02,3.6906795,7.4507305,1.36751,3.04528,2:1,0.009398201604880585,0.31,0.04044251337014935,0.09006060439473818,2420.970605382419,165,84,0.00137,0.00425,25,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+307210830
55652896,216,216.02,216.01,17.38904538708,34.505931831303,6.484012463502,10.462516216162,2:1,-0.007825586074414748,0.80173599720001,0.07414498442270788,0.11963936007776933,2444.700606699918,50,24,0.00618,0.0014,38,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+55652896
259377017,270,270.01,270.02,5.6605693160307,11.379565339631,2.4070872308756,2.2539464482857,2:1,0.005160850817967688,0.37435799837112,0.0589486730257295,0.05519831208990562,814.2038958357177,21,10,0.00129,0.00166,5,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+259377017
29781292,282,282.01,282.03,56.004505648439,84.26076445013,4.6074443592591,3.4359102478408,3:2,0.003023637408342106,1.4118900299072,0.02991772380698649,0.02231054914725556,2449.7794490832202,18,8,0.00426,0.00719,38,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+29781292
153065527,406,406.02,406.01,6.6149110161123,13.175729434532,1.2731553840439,1.9602372852794,2:1,-0.004088686723135337,0.38860899209976,0.030035708867998247,0.046245035877582344,783.9954030969357,15,8,0.00357,0.0016,4,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+153065527
54962195,663,663.02,663.03,4.6991465549232,7.1024748585508,3.9416204158631,1.9895243960714,3:2,0.007626211204909472,0.51236099004745,0.07052905474274176,0.03559938812926363,2200.4027217206394,21,14,0.00206,0.00294,4,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+54962195
77156829,696,696.02,696.03,3.6942604088346,4.9652068552764,1.042840695527,0.85669246416633,4:3,0.008024537889047334,0.33818998932838,0.02827004783522936,0.023223812655128226,789.1662444999424,26,21,0.00182,0.00263,4,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+77156829
150428135,700,700.04,700.02,27.809689757355,37.423683827416,0.94918578055327,1.3296571127861,4:3,0.009279970954682915,0.41945698857307,0.020745939628566988,0.02906173559877407,2447.8958161117353,28,22,0.01249,0.00844,33,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+150428135
360630575,1097,1097.01,1097.02,9.188506,13.902839065179,2.16591,2.6136848178109,3:2,0.008712338739943037,0.98,0.020262062540151893,0.024450990686930654,55.864472588310036,6,4,0.00445,0.00432,2,http://simbad.u-strasbg.fr/simbad/sim-id?Ident=TIC+360630575
